id,fx,fy,fixed
F357,2880,200,True
F358,2890,200,True
F359,2900,200,True
F360,2910,200,True
F361,2920,200,True
F362,2930,200,True
F363,2940,200,True
F364,2950,200,True
F365,2960,200,True
F366,2970,200,True
F367,2980,200,True
F368,2990,200,True
F369,3000,200,True
F370,3010,200,True
F371,3020,200,True
F372,3030,200,True
F373,3040,200,True
F374,3050,200,True
F375,3060,200,True
F376,3070,200,True
F377,3080,200,True
F378,3090,200,True
F379,3100,200,True
F380,3110,200,True
F381,3120,200,True
F382,3130,200,True
F383,3140,200,True
F384,3150,200,True
F385,3160,200,True
F386,3170,200,True
F387,3180,200,True
F388,3190,200,True
F389,3200,200,True
F390,3210,200,True
F391,3220,200,True
F392,3230,200,True
F393,3240,200,True
F394,3250,200,True
F395,3260,200,True
F396,3270,200,True
F397,3280,200,True
F398,3290,200,True
F399,3300,200,True
F400,3310,200,True
F401,3320,200,True
F402,3330,200,True
F403,3340,200,True
F404,3350,200,True
F405,3360,200,True
F406,3370,200,True
F407,3380,200,True
F408,3390,200,True
F409,3400,200,True
